,PostalCode,PostalCode Latitude,PostalCode Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
96,M7A,43.6623015,-79.3894938,Booster Juice,43.65865699,-79.38868207,Smoothie Shop
97,M7A,43.6623015,-79.3894938,Hart House Gym,43.66417202442517,-79.39488839857401,Gym
98,M7A,43.6623015,-79.3894938,Starbucks,43.660887,-79.39372,Coffee Shop
99,M7A,43.6623015,-79.3894938,Subway,43.658720367952235,-79.39090229383463,Sandwich Place
100,M7A,43.6623015,-79.3894938,Tim Hortons,43.6610382,-79.3937966,Coffee Shop
101,M7A,43.6623015,-79.3894938,Aroma Espresso Bar,43.658927676749364,-79.38990298985978,Café
102,M7A,43.6623015,-79.3894938,Convocation Hall,43.66082829233904,-79.39524545662506,College Auditorium
103,M7A,43.6623015,-79.3894938,Tim Hortons,43.658175,-79.3906813,Coffee Shop
104,M7A,43.6623015,-79.3894938,Tim Hortons,43.6594149,-79.3912214,Coffee Shop
105,M7A,43.6623015,-79.3894938,SUDS,43.65988035580764,-79.39471219966201,Bar
106,M7A,43.6623015,-79.3894938,Tim Hortons,43.658599,-79.388498,Coffee Shop
107,M7A,43.6623015,-79.3894938,Hart House Music Room,43.663758129167384,-79.39502654389076,Music Venue
108,M1B,43.8066863,-79.19435340000003,Wendy's,43.80744841934756,-79.19905558052072,Fast Food Restaurant
109,M1B,43.8066863,-79.19435340000003,Interprovincial Group,43.8056297,-79.2003784,Print Shop
110,M3B,43.7459058,-79.352188,LA Fitness,43.74766522888878,-79.34707696065234,Gym / Fitness Center
111,M3B,43.7459058,-79.352188,Island Foods,43.745866073988985,-79.34603533317939,Caribbean Restaurant
112,M3B,43.7459058,-79.352188,Baretto Caffé,43.74445646349851,-79.34645978471785,Café
113,M3B,43.7459058,-79.352188,Gonoe Sushi,43.74573681959921,-79.34599119916211,Japanese Restaurant
114,M4B,43.7063972,-79.309937,Jawny Bakers,43.705782646822,-79.31291304477831,Gastropub
115,M4B,43.7063972,-79.309937,East York Gymnastics,43.710654,-79.309279,Gym / Fitness Center
116,M4B,43.7063972,-79.309937,Shoppers Drug Mart,43.705933,-79.312825,Pharmacy
117,M4B,43.7063972,-79.309937,TD Canada Trust,43.705739883755946,-79.31227013468737,Bank
118,M4B,43.7063972,-79.309937,Pizza Pizza,43.70515901620182,-79.31312955571528,Pizza Place
119,M4B,43.7063972,-79.309937,Harvey's,43.71072995920288,-79.30883762217763,Fast Food Restaurant
120,M4B,43.7063972,-79.309937,St. Clair Ave E & O'Connor Dr,43.70523283448301,-79.31327432821826,Intersection
121,M4B,43.7063972,-79.309937,Venice Pizza,43.70592051370348,-79.31395663414658,Pizza Place
122,M4B,43.7063972,-79.309937,91 Woodbine Bus (south),43.7076463787027,-79.31380806795836,Bus Line
123,M4B,43.7063972,-79.309937,Harvey's,43.70813627814792,-79.3141045886623,Fast Food Restaurant
124,M4B,43.7063972,-79.309937,TKTO - Toronto Knife Throwing Organization,43.7099660731501,-79.31341111891099,Athletics & Sports
125,M5B,43.6571618,-79.37893709999999,UNIQLO ユニクロ,43.65591027779457,-79.38064099181345,Clothing Store
126,M5B,43.6571618,-79.37893709999999,Silver Snail Comics,43.65703137958407,-79.38140310220501,Comic Shop
127,M5B,43.6571618,-79.37893709999999,Blaze Pizza,43.656518,-79.380015,Pizza Place
128,M5B,43.6571618,-79.37893709999999,Yonge-Dundas Square,43.65605389742188,-79.38049504264389,Plaza
129,M5B,43.6571618,-79.37893709999999,Page One Cafe,43.65777161112601,-79.3760725691681,Café
130,M5B,43.6571618,-79.37893709999999,DAVIDsTEA,43.65658619027106,-79.38116704725516,Tea Room
131,M5B,43.6571618,-79.37893709999999,Burrito Boyz,43.656265264409015,-79.37834318376771,Burrito Place
132,M5B,43.6571618,-79.37893709999999,Hokkaido Ramen Santouka らーめん山頭火,43.65643520293576,-79.37758637997793,Ramen Restaurant
133,M5B,43.6571618,-79.37893709999999,Ed Mirvish Theatre,43.655101567321054,-79.37976762131545,Theater
134,M5B,43.6571618,-79.37893709999999,Jazz Bistro,43.65567828473835,-79.37927565514764,Music Venue
135,M5B,43.6571618,-79.37893709999999,Five Guys,43.65710635305761,-79.38130606340378,Burger Joint
136,M5B,43.6571618,-79.37893709999999,Salad King,43.65760101432665,-79.38161963017174,Thai Restaurant
137,M5B,43.6571618,-79.37893709999999,Tacos 101,43.656636132918166,-79.37696796225362,Taco Place
138,M5B,43.6571618,-79.37893709999999,The Black Canary Espresso Bar,43.65702925121356,-79.38138512728051,Café
139,M5B,43.6571618,-79.37893709999999,306 Yonge Street - Jordan Store,43.65649471160899,-79.38101531134684,Sporting Goods Shop
140,M5B,43.6571618,-79.37893709999999,The Senator Restaurant,43.65564091455335,-79.37919882575557,Diner
141,M5B,43.6571618,-79.37893709999999,Cineplex Cinemas,43.65612555948613,-79.38039005666784,Movie Theater
142,M5B,43.6571618,-79.37893709999999,Banh Mi Boys,43.659292,-79.381949,Sandwich Place
143,M5B,43.6571618,-79.37893709999999,Infuse Cafe,43.658068043552504,-79.38172645275614,Coffee Shop
144,M5B,43.6571618,-79.37893709999999,Ryerson Image Centre,43.65752337161094,-79.37945958709186,Art Gallery
145,M5B,43.6571618,-79.37893709999999,The 3 Brewers,43.655474284721,-79.38041324445061,Beer Bar
146,M5B,43.6571618,-79.37893709999999,Elmwood Spa,43.6577592341367,-79.38258620521141,Spa
147,M5B,43.6571618,-79.37893709999999,Oakham Café,43.658077944767534,-79.37831497990125,Café
148,M5B,43.6571618,-79.37893709999999,Barberian's Steak House,43.65775512925926,-79.38217741375935,Steakhouse
149,M5B,43.6571618,-79.37893709999999,JOEY,43.6560936540828,-79.38187792357716,American Restaurant
150,M5B,43.6571618,-79.37893709999999,Nordstrom,43.655041,-79.3809665,Clothing Store
151,M5B,43.6571618,-79.37893709999999,Crepe Delicious,43.654536488277245,-79.38088885547485,Fast Food Restaurant
152,M5B,43.6571618,-79.37893709999999,The Grand Hotel & Suites Toronto,43.65644901207743,-79.3741100180102,Hotel
153,M5B,43.6571618,-79.37893709999999,Chipotle Mexican Grill,43.65686,-79.38091,Mexican Restaurant
154,M5B,43.6571618,-79.37893709999999,Spring Sushi,43.656252529816086,-79.38065954471074,Sushi Restaurant
155,M5B,43.6571618,-79.37893709999999,Kinka Izakaya Original,43.66059636632361,-79.37889120754515,Japanese Restaurant
156,M5B,43.6571618,-79.37893709999999,Urban Herbivore,43.65497185575342,-79.38085556030273,Vegetarian / Vegan Restaurant
157,M5B,43.6571618,-79.37893709999999,Milestones,43.65630763877396,-79.38082230024877,Fast Food Restaurant
158,M5B,43.6571618,-79.37893709999999,Balzac's Coffee,43.65785440672277,-79.37919981155157,Coffee Shop
159,M5B,43.6571618,-79.37893709999999,BMV Books,43.657047061091596,-79.38166061431659,Bookstore
160,M5B,43.6571618,-79.37893709999999,JOEY Eaton Centre,43.65540379999999,-79.38192889999999,Restaurant
161,M5B,43.6571618,-79.37893709999999,Elgin And Winter Garden Theatres,43.653393796019586,-79.3785073962175,Theater
162,M5B,43.6571618,-79.37893709999999,The Queen and Beaver Public House,43.65747228208784,-79.38352412327917,Gastropub
163,M5B,43.6571618,-79.37893709999999,Hailed Coffee,43.65883296982352,-79.38368351986598,Coffee Shop
